feature,importance
num__tenure,0.1969492258816314
num__is_new_customer,0.0905299124020537
num__cashback_amount,0.06774068852586987
num__warehouse_to_home,0.05472607010665547
num__day_since_last_order,0.05127499461319703
num__number_of_address,0.04977062752647432
num__order_amount_hike_from_last_year,0.0427631208696975
num__satisfaction_score,0.03918285953045356
num__has_complaint,0.03722674465718512
num__complain,0.03694184750879959
num__number_of_device_registered,0.02900301248492023
num__order_count,0.023940253449566
num__city_tier,0.022886986514807504
num__coupon_used,0.022203724014994396
cat__marital_status_single,0.021497767824131167
num__low_satisfaction_flag,0.017652924175771207
cat__preferred_order_cat_laptop & accessory,0.01689607152528416
num__hour_spend_on_app,0.01517652300842779
cat__marital_status_married,0.01325319958416576
cat__preferred_payment_mode_credit card,0.012776366443563685
cat__preferred_login_device_mobile phone,0.011722913747218884
cat__preferred_payment_mode_debit card,0.011542499525161879
cat__gender_female,0.011273136916138744
cat__gender_male,0.01096511457400666
cat__preferred_order_cat_mobile phone,0.010963811212763097
cat__preferred_login_device_computer,0.010744763171492299
cat__preferred_payment_mode_cash on delivery,0.009239691293256908
cat__preferred_order_cat_fashion,0.008786970399581057
cat__preferred_payment_mode_e wallet,0.008116615239656634
num__high_cashback_customer_flag,0.006636867118010244
cat__preferred_order_cat_mobile,0.0054741034887974445
cat__preferred_payment_mode_upi,0.005239225853224085
num__tenure_missing_flag,0.00472182855612861
cat__marital_status_divorced,0.004461090302483753
cat__preferred_order_cat_grocery,0.004008569569142829
num__warehouse_to_home_missing_flag,0.0036582755979848373
num__inactive_customer_flag,0.0029335456490754185
num__day_since_last_order_missing_flag,0.0029159323736129283
num__hour_spend_on_app_missing_flag,0.002382560282304389
cat__preferred_order_cat_others,0.0018195644823099544
