feature,mean_abs_shap_value,clean_feature
num__tenure,0.14206330983284263,tenure
num__is_new_customer,0.06546280201068601,is_new_customer
num__complain,0.04614915825102288,complain
num__has_complaint,0.04584675853663723,has_complaint
num__day_since_last_order,0.035132104040551004,day_since_last_order
num__number_of_address,0.03108039595565145,number_of_address
cat__marital_status_single,0.025020925328433644,marital_status_single
num__cashback_amount,0.023121544885284985,cashback_amount
num__warehouse_to_home,0.02262806217657409,warehouse_to_home
num__city_tier,0.02028930456800262,city_tier
num__satisfaction_score,0.01928597487481013,satisfaction_score
cat__preferred_order_cat_laptop & accessory,0.01917124391226359,preferred_order_cat_laptop & accessory
num__order_amount_hike_from_last_year,0.015801495691669946,order_amount_hike_from_last_year
num__number_of_device_registered,0.01434586550766778,number_of_device_registered
cat__marital_status_married,0.014326249771714164,marital_status_married
num__low_satisfaction_flag,0.012294873528714416,low_satisfaction_flag
num__order_count,0.01043875445886442,order_count
num__coupon_used,0.009839799140342336,coupon_used
cat__preferred_order_cat_mobile phone,0.009541449284981659,preferred_order_cat_mobile phone
cat__preferred_login_device_mobile phone,0.007308402789630898,preferred_login_device_mobile phone
cat__preferred_order_cat_fashion,0.006814257047364286,preferred_order_cat_fashion
cat__preferred_login_device_computer,0.006587633031059356,preferred_login_device_computer
cat__preferred_payment_mode_credit card,0.0062902903363361105,preferred_payment_mode_credit card
num__hour_spend_on_app,0.006177146273396907,hour_spend_on_app
cat__preferred_payment_mode_e wallet,0.0061086045199644735,preferred_payment_mode_e wallet
cat__preferred_payment_mode_debit card,0.00532548234599801,preferred_payment_mode_debit card
cat__gender_female,0.0049922075207215295,gender_female
cat__gender_male,0.00497916631881612,gender_male
cat__preferred_payment_mode_cash on delivery,0.004670299254584173,preferred_payment_mode_cash on delivery
num__high_cashback_customer_flag,0.003067045195726211,high_cashback_customer_flag
cat__preferred_order_cat_mobile,0.0028398865316805926,preferred_order_cat_mobile
num__warehouse_to_home_missing_flag,0.0023492899423424333,warehouse_to_home_missing_flag
cat__preferred_order_cat_grocery,0.002053940045760773,preferred_order_cat_grocery
cat__marital_status_divorced,0.0019148482428428073,marital_status_divorced
num__tenure_missing_flag,0.0018962797992856228,tenure_missing_flag
cat__preferred_payment_mode_upi,0.0018798235218194068,preferred_payment_mode_upi
num__inactive_customer_flag,0.0014855352932837266,inactive_customer_flag
num__hour_spend_on_app_missing_flag,0.0009352913955363338,hour_spend_on_app_missing_flag
num__day_since_last_order_missing_flag,0.0009135267537390617,day_since_last_order_missing_flag
cat__preferred_order_cat_others,0.0007873517273724185,preferred_order_cat_others
